PCBS_NAME,Oslo_Areas,GovID,X,Y,NAME_ARB,Pop_Source,EJ,Capital,Urban_Rurl,Livelihood,pop2017,Region,District,PCODE,id,Name,type,comments,area_sqm
Hitta,B,"50",35.02102090860,31.62036009800,حَتَّا,PCBS Tables,"0","0",Rural,Farming,"1155",West Bsnk,Hebron,"502550","8",Segafim,Rural,,695288237.344
Beit Ula,B,"50",35.02197897830,31.59747698020,بِيت أُولا,PCBS Tables,"0","0",Urban,Farming,"12381",West Bsnk,Hebron,"502615","7",Beit Govrin,Rural,,695288237.344
Beit Ula,B,"50",35.02197897830,31.59747698020,بِيت أُولا,PCBS Tables,"0","0",Urban,Farming,"12381",West Bsnk,Hebron,"502615","8",Segafim,Rural,,695288237.344
Kharas,B,"50",35.03941545990,31.61612483840,خَارَاس,PCBS Tables,"0","0",Urban,Government sector,"9018",West Bsnk,Hebron,"502560","7",Beit Govrin,Rural,,695288237.344
Kharas,B,"50",35.03941545990,31.61612483840,خَارَاس,PCBS Tables,"0","0",Urban,Government sector,"9018",West Bsnk,Hebron,"502560","8",Segafim,Rural,,695288237.344
Kharbatha al Misbah,B / C,"30",35.07224111800,31.88522186750,خَرْبَثا المِصْباح,PCBS,"0","0",Semi-Urban,Government sector,"6366",West Bsnk,Ramallah,"301855","6",Bnei Brit,Country,,695288237.344
Beit 'Ur at Tahta,B / C,"30",35.07978839690,31.89592328100,بِيت عُوْرْ التَحْتَا,PCBS,"0","0",Rural,Employment in Israeli settlement,"5040",West Bsnk,Ramallah,"301820","6",Bnei Brit,Country,,695288237.344
Beit 'Ur al Fauqa,B / C,"30",35.11543720210,31.88495940650,بِيت عُوْر الفُوقَا,PCBS,"0","0",Semi-Urban,other private sector (waged),"1049",West Bsnk,Ramallah,"301860","6",Bnei Brit,Country,,695288237.344
At Tira,B / C,"30",35.12574961470,31.87046460160,الطيرَة,PCBS,"0","0",Rural,Employment in Israeli settlement,"1504",West Bsnk,Ramallah,"301890","6",Bnei Brit,Country,,695288237.344
Beit Duqqu,B / C,"40",35.13168000800,31.85855549750,بِيت دُقُّو,PCBS,"0","0",Urban,Farming,"1754",West Bsnk,Jerusalem,"401930","6",Bnei Brit,Country,,695288237.344
Beit 'Awwa,B / C,"50",34.95494869390,31.50748407950,بِيت عَوَّا,PCBS,"0","0",Semi-Urban,Employment in Israeli settlement,"10436",West Bsnk,Hebron,"502835","7",Beit Govrin,Rural,,695288237.344
Ein Ayoub Bedouins,C,"30",35.09298297410,31.94993225070,عين أيوب,part of Ras Karkar,"0","0",,,NA,West Bsnk,Ramallah,"999771","10",Tinshemet,Rural,,695288237.344
Humsa,C,"50",34.98516463840,31.53154086570,حُمْصَة,part of Deir Samit,"0","0",,,"64",West Bsnk,Hebron,"502785","7",Beit Govrin,Rural,,695288237.344
Tarusa,C,"50",34.98709458000,31.52374533910,طَاروسَة,part of Deir Samit,"0","0",,,"139",West Bsnk,Hebron,"502800","7",Beit Govrin,Rural,,695288237.344
At Taybe,C,"50",35.04994320190,31.56259819410,,part of Tarqumiya,"0","0",,,NA,West Bsnk,Hebron,"999812","7",Beit Govrin,Rural,,695288237.344
Deir Ghassana (Bani Zeid),A,"30",35.09824564780,32.04660542740,,part of Bani Zeid,"0","0",,,"1692",West Bsnk,Ramallah,"999974","10",Tinshemet,Rural,,695288237.344
Al Muwarraq,B,"50",34.96681411830,31.52903432550,المُوَرَّقْ,part of Beit Maqdum,"0","0",,,"839",West Bsnk,Hebron,"502795","7",Beit Govrin,Rural,,695288237.344
Khirbet Jamrura,B / C,"50",34.97667653600,31.58320940770,خِرْبِة جَمْرُورَة,part of Tarqumiya,"0","0",,,NA,West Bsnk,Hebron,"502625","7",Beit Govrin,Rural,,695288237.344
Khirbet Jamrura,B / C,"50",34.97667653600,31.58320940770,خِرْبِة جَمْرُورَة,part of Tarqumiya,"0","0",,,NA,West Bsnk,Hebron,"502625","8",Segafim,Rural,,695288237.344
Wadih,A,"50",35.00144758020,31.50386555890,واضِح,part of Dura,"0","0",,,"84",West Bsnk,Hebron,"502845","7",Beit Govrin,Rural,,695288237.344
Al Khamajat,A,"50",35.04377221030,31.54502918550,الخَمْجَات,part of Taffuh,"0","0",,,"1118",West Bsnk,Hebron,"502710","7",Beit Govrin,Rural,,695288237.344
Khirbet Susa,C,"25",35.08341806280,32.07859687570,خِرْبِة سُوسَة,part of Kafr ad Dik,"0","0",,,"633",West Bsnk,Salfit,"251390","10",Tinshemet,Rural,,695288237.344
Qila,B,"50",35.00351424710,31.61081335220,قِيلا,part of Beit Ula,"0","0",,,"1519",West Bsnk,Hebron,"502570","7",Beit Govrin,Rural,,695288237.344
Qila,B,"50",35.00351424710,31.61081335220,قِيلا,part of Beit Ula,"0","0",,,"1519",West Bsnk,Hebron,"502570","8",Segafim,Rural,,695288237.344
Ras al Jora,B,"50",34.99790389770,31.60431476990,راس الجُورَة,part of Beit Ula,"0","0",,,"637",West Bsnk,Hebron,"502600","7",Beit Govrin,Rural,,695288237.344
Ras al Jora,B,"50",34.99790389770,31.60431476990,راس الجُورَة,part of Beit Ula,"0","0",,,"637",West Bsnk,Hebron,"502600","8",Segafim,Rural,,695288237.344
Deir 'Ammar,B,"30",35.10730386790,31.96871680930,دِير عَمَّار,part of AL-Itihad,"0","0",,,"3353",West Bsnk,Ramallah,"301655","10",Tinshemet,Rural,,695288237.344
Battir,B / C,"45",35.14075924460,31.71848039380,بَتِّير,PCBS,"0","0",Rural,Employment in Israeli settlement,"4696",West Bsnk,Bethlehem,"452175","6",Bnei Brit,Country,,695288237.344
Beit Sira,B / C,"30",35.04637876900,31.88791171400,بِيت سِيرَا,PCBS,"0","0",Rural,Employment in Israeli settlement,"3343",West Bsnk,Ramallah,"301850","6",Bnei Brit,Country,,695288237.344
Beit Sira,B / C,"30",35.04637876900,31.88791171400,بِيت سِيرَا,PCBS,"0","0",Rural,Employment in Israeli settlement,"3343",West Bsnk,Ramallah,"301850","10",Tinshemet,Rural,,695288237.344
Beit Liqya,B / C,"30",35.06538950120,31.86973126880,بِيت لِقْيا,PCBS,"0","0",Rural,Employment in Israeli settlement,"9304",West Bsnk,Ramallah,"301895","6",Bnei Brit,Country,,695288237.344
Qibya,B / C,"30",35.00974280940,31.97670321260,قِبْيَه,PCBS,"0","0",Rural,Employment in Israeli settlement,"6090",West Bsnk,Ramallah,"301605","10",Tinshemet,Rural,,695288237.344
Budrus,B / C,"30",34.99338998670,31.96651260190,بُدْرُس,PCBS,"0","0",Rural,Employment in Israeli settlement,"1596",West Bsnk,Ramallah,"301665","10",Tinshemet,Rural,,695288237.344
Shuqba,B / C,"30",35.04027624870,31.98702854290,شُقْبَا,PCBS,"0","0",Rural,other private sector (waged),"5459",West Bsnk,Ramallah,"301595","10",Tinshemet,Rural,,695288237.344
Shabtin,B / C,"30",35.04929385890,31.97345667840,شِبْتِين,PCBS,"0","0",Rural,Employment in Israeli settlement,"1136",West Bsnk,Ramallah,"301625","10",Tinshemet,Rural,,695288237.344
Deir Qaddis,B / C,"30",35.04337164030,31.94825044210,دِير قِدِّيس,PCBS,"0","0",Rural,Government sector,"2452",West Bsnk,Ramallah,"301710","10",Tinshemet,Rural,,695288237.344
Ni'lin,B / C,"30",35.02110458480,31.94730284330,نِعْلِين,PCBS,"0","0",Rural,other private sector (waged),"5118",West Bsnk,Ramallah,"301715","10",Tinshemet,Rural,,695288237.344
Rantis,B / C,"30",35.01854535100,32.02906519900,رَنْتِيس,PCBS,"0","0",Rural,Employment in Israeli settlement,"3179",West Bsnk,Ramallah,"301515","10",Tinshemet,Rural,,695288237.344
Abud,B / C,"30",35.06864902120,32.01669589050,عابُود,PCBS,"0","0",Rural,Government sector,"2153",West Bsnk,Ramallah,"301535","10",Tinshemet,Rural,,695288237.344
Deir Abu Mash'al,B,"30",35.06912537020,31.99835662440,دِير أبو مَشْعَلْ,PCBS Tables,"0","0",Rural,Farming,"4233",West Bsnk,Ramallah,"301570","10",Tinshemet,Rural,,695288237.344
Qussa,C,"50",34.95938505510,31.58961049170,قصة,part of Tarqumiya,"0","0",,,"0",West Bsnk,Hebron,"999998","7",Beit Govrin,Rural,,695288237.344
Qussa,C,"50",34.95938505510,31.58961049170,قصة,part of Tarqumiya,"0","0",,,"0",West Bsnk,Hebron,"999998","8",Segafim,Rural,,695288237.344
Khirbet Mushrif,B,"50",35.02576186010,31.62547149100,خِرْبِة مُشْرِف-عَذاب,part of Kharas,"0","0",,,"121",West Bsnk,Hebron,"502515","7",Beit Govrin,Rural,,695288237.344
Khirbet Mushrif,B,"50",35.02576186010,31.62547149100,خِرْبِة مُشْرِف-عَذاب,part of Kharas,"0","0",,,"121",West Bsnk,Hebron,"502515","8",Segafim,Rural,,695288237.344
Kureise,A / B / C,"50",35.01559368520,31.52342746960,كْرِيسِة,part of Dura,"0","0",,,"3719",West Bsnk,Hebron,"502805","7",Beit Govrin,Rural,,695288237.344
Fer'a,C,"50",35.01148736370,31.54956035900,,part of Idhna,"0","0",,,NA,West Bsnk,Hebron,"999878","7",Beit Govrin,Rural,,695288237.344
